STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls
ANDHRA PRADESH,ADILABAD,2006,50,30,16,149,34,175,0
ANDHRA PRADESH,ANANTAPUR,2006,23,30,7,118,24,154,0
ANDHRA PRADESH,CHITTOOR,2006,27,34,14,112,83,186,0
ANDHRA PRADESH,CUDDAPAH,2006,20,20,17,126,38,57,0
ANDHRA PRADESH,EAST GODAVARI,2006,23,26,12,109,58,247,0
ANDHRA PRADESH,GUNTAKAL RLY.,2006,0,0,0,1,0,0,0
ANDHRA PRADESH,GUNTUR,2006,54,51,7,139,129,378,0
ANDHRA PRADESH,HYDERABAD CITY,2006,37,39,24,118,27,746,0
ANDHRA PRADESH,KARIMNAGAR,2006,56,49,62,414,81,224,0
ANDHRA PRADESH,KHAMMAM,2006,47,30,17,180,336,172,0
ANDHRA PRADESH,KRISHNA,2006,37,21,10,208,72,265,0
ANDHRA PRADESH,KURNOOL,2006,29,47,13,141,107,92,0
ANDHRA PRADESH,MAHABOOBNAGAR,2006,59,27,14,176,41,69,0
ANDHRA PRADESH,MEDAK,2006,35,20,26,100,25,192,0
ANDHRA PRADESH,NALGONDA,2006,35,19,31,188,59,214,0
ANDHRA PRADESH,NELLORE,2006,46,80,10,207,228,287,0
ANDHRA PRADESH,NIZAMABAD,2006,21,21,19,55,15,228,0
ANDHRA PRADESH,PRAKASHAM,2006,19,12,5,140,100,119,0
ANDHRA PRADESH,RANGA REDDY,2006,72,83,37,113,55,421,7
ANDHRA PRADESH,SECUNDERABAD RLY.,2006,0,0,1,0,1,0,0
ANDHRA PRADESH,SRIKAKULAM,2006,8,12,6,38,47,108,0
ANDHRA PRADESH,VIJAYAWADA,2006,25,48,2,84,122,520,0
ANDHRA PRADESH,VIJAYAWADA RLY.,2006,1,0,0,1,1,0,0
ANDHRA PRADESH,VISAKHA RURAL,2006,12,12,3,67,48,99,0
ANDHRA PRADESH,VISAKHAPATNAM,2006,13,6,0,33,462,204,0
ANDHRA PRADESH,VIZIANAGARAM,2006,8,2,0,40,22,121,0
ANDHRA PRADESH,WARANGAL,2006,53,25,52,241,0,165,0
ANDHRA PRADESH,WEST GODAVARI,2006,61,21,15,246,56,348,0
ANDHRA PRADESH,TOTAL,2006,871,765,420,3544,2271,5791,7
ARUNACHAL PRADESH,CHANGLANG,2006,1,2,0,3,0,0,0
ARUNACHAL PRADESH,DIBANG VALLEY,2006,2,4,0,4,0,2,0
ARUNACHAL PRADESH,KAMENG EAST,2006,2,5,0,5,0,0,0
ARUNACHAL PRADESH,KAMENG WEST,2006,0,2,0,0,0,0,0
ARUNACHAL PRADESH,LOHIT,2006,2,6,0,8,0,0,0
ARUNACHAL PRADESH,PAPUM PARE,2006,9,5,0,6,0,3,0
ARUNACHAL PRADESH,SIANG EAST,2006,5,7,0,7,0,2,0
ARUNACHAL PRADESH,SIANG UPPER,2006,2,5,0,3,0,0,0
ARUNACHAL PRADESH,SIANG WEST,2006,4,10,0,25,2,2,0
ARUNACHAL PRADESH,SUBANSIRI LOWER,2006,2,5,0,4,0,0,0
ARUNACHAL PRADESH,SUBANSIRI UPPER,2006,2,1,0,8,0,2,0
ARUNACHAL PRADESH,TAWANG,2006,1,0,0,5,1,0,0
ARUNACHAL PRADESH,TIRAP,2006,1,3,0,0,0,0,0
ARUNACHAL PRADESH,TOTAL,2006,33,55,0,78,3,11,0
ASSAM,BARPETA,2006,28,88,10,29,0,95,0
ASSAM,BONGAIGAON,2006,20,21,1,22,0,26,0
ASSAM,C.I.D.,2006,0,0,0,0,0,0,0
ASSAM,CACHAR,2006,45,74,7,80,0,216,0
ASSAM,DARRANG,2006,48,47,9,56,0,37,0
ASSAM,DHEMAJI,2006,42,20,0,26,0,0,0
ASSAM,DHUBRI,2006,43,51,5,49,0,111,0
ASSAM,DIBRUGARH,2006,35,37,3,41,0,19,0
ASSAM,G.R.P.,2006,1,0,0,0,0,0,0
ASSAM,GOALPARA,2006,35,35,1,54,0,64,0
ASSAM,GOLAGHAT,2006,30,40,0,23,0,26,0
ASSAM,GUWAHATI CITY,2006,37,64,5,67,0,98,0
ASSAM,HAILAKANDI,2006,24,34,2,27,0,28,0
ASSAM,JORHAT,2006,42,28,2,44,0,48,0
ASSAM,KAMRUP,2006,21,65,2,42,0,27,0
ASSAM,KARBI ANGLONG,2006,5,15,4,5,0,8,0
ASSAM,KARIMGANJ,2006,33,8,1,9,0,30,0
ASSAM,KOKRAJHAR,2006,14,12,0,37,0,20,0
ASSAM,LAKHIMPUR,2006,64,62,0,22,0,93,0
ASSAM,MORIGAON,2006,23,37,0,6,0,28,0
ASSAM,N.C.HILLS,2006,2,4,0,2,0,7,0
ASSAM,NAGAON,2006,51,109,1,113,4,132,0
ASSAM,NALBARI,2006,30,27,3,16,0,15,0
ASSAM,R.P.O.,2006,3,0,0,0,0,0,0
ASSAM,SIBSAGAR,2006,47,64,0,28,0,0,0
ASSAM,SONITPUR,2006,53,80,1,43,0,99,0
ASSAM,TINSUKIA,2006,41,48,2,9,0,21,0
ASSAM,TOTAL,2006,817,1070,59,850,4,1248,0
BIHAR,ARARIA,2006,93,13,11,3,0,50,0
BIHAR,ARWAL,2006,0,0,7,11,0,14,0
BIHAR,AURANGABAD,2006,16,4,33,13,2,19,0
BIHAR,BAGAHA,2006,25,6,0,4,0,2,0
BIHAR,BANKA,2006,34,10,9,0,0,16,0
BIHAR,BEGUSARAI,2006,13,7,21,32,0,21,0
BIHAR,BETTIAH,2006,20,23,17,23,0,54,8
BIHAR,BHABHUA,2006,10,12,8,7,0,22,0
BIHAR,BHAGALPUR,2006,35,9,20,15,0,52,0
BIHAR,BHOJPUR,2006,22,13,23,0,4,29,0
BIHAR,BUXAR,2006,8,1,15,0,0,0,0
BIHAR,DARBHANGA,2006,19,16,37,40,0,34,0
BIHAR,GAYA,2006,25,15,26,27,0,24,0
BIHAR,GOPALGANJ,2006,13,18,22,0,2,155,0
BIHAR,JAMALPUR RLY.,2006,1,0,0,1,0,1,0
BIHAR,JAMUI,2006,10,1,16,8,0,15,0
BIHAR,JEHANABAD,2006,6,5,25,0,0,4,0
BIHAR,KATIHAR,2006,51,20,6,6,0,29,0
BIHAR,KATIHAR RLY.,2006,0,1,0,2,0,0,0
BIHAR,KHAGARIA,2006,5,6,11,6,0,2,0
BIHAR,KISHANGANJ,2006,22,16,4,2,1,39,0
BIHAR,LAKHISARAI,2006,10,7,6,12,0,5,0
BIHAR,MADHEPURA,2006,11,15,6,3,0,10,0
BIHAR,MADHUBANI,2006,13,11,12,41,0,18,0
BIHAR,MOTIHARI,2006,44,35,37,3,1,47,0
BIHAR,MUNGER,2006,11,15,8,0,0,39,0
BIHAR,MUZAFFARPUR,2006,73,25,69,81,0,141,6
BIHAR,MUZAFFARPUR RLY.,2006,2,1,0,4,0,1,0
BIHAR,NALANDA,2006,40,12,47,14,2,54,0
BIHAR,NAUGACHIA,2006,7,9,4,0,0,5,0
BIHAR,NAWADAH,2006,15,1,17,7,0,13,1
BIHAR,PATNA,2006,27,11,90,47,0,152,39
BIHAR,PATNA RLY.,2006,1,1,0,9,0,0,0
BIHAR,PURNEA,2006,39,23,8,5,0,22,0
BIHAR,ROHTAS,2006,25,18,36,21,0,59,0
BIHAR,SAHARSA,2006,12,10,7,9,0,12,0
BIHAR,SAMASTIPUR,2006,19,29,11,17,9,35,29
BIHAR,SARAN,2006,20,15,67,22,0,101,0
BIHAR,SHEIKHPURA,2006,3,1,9,0,0,32,0
BIHAR,SHEOHAR,2006,11,7,3,0,0,2,0
BIHAR,SITAMARHI,2006,23,20,13,1,0,21,0
BIHAR,SIWAN,2006,4,26,32,6,0,10,0
BIHAR,SUPAUL,2006,30,2,7,8,0,18,0
BIHAR,VAISHALI,2006,20,28,59,52,0,179,0
BIHAR,TOTAL,2006,888,518,859,562,21,1558,83
CHHATTISGARH,BALRAMPUR,2006,17,1,1,18,0,7,0
CHHATTISGARH,BILASPUR,2006,69,20,7,180,10,94,0
CHHATTISGARH,BIZAPUR,2006,4,0,0,1,0,0,0
CHHATTISGARH,DANTEWARA,2006,19,8,1,18,1,3,0
CHHATTISGARH,DHAMTARI,2006,22,4,1,41,5,6,0
CHHATTISGARH,DURG,2006,144,42,12,287,38,231,0
CHHATTISGARH,GRP RAIPUR,2006,0,0,0,4,0,1,0
CHHATTISGARH,JAGDALPUR,2006,59,4,3,49,2,14,0
CHHATTISGARH,JANJGIR,2006,29,6,9,110,13,116,0
CHHATTISGARH,JASHPUR,2006,36,2,2,41,1,4,0
CHHATTISGARH,KANKER,2006,42,4,1,36,3,10,0
CHHATTISGARH,KAWARDHA,2006,35,0,1,45,4,15,0
CHHATTISGARH,KORBA,2006,46,13,1,90,7,31,0
CHHATTISGARH,KORIYA,2006,34,7,3,102,2,31,0
CHHATTISGARH,MAHASAMUND,2006,43,7,6,69,6,21,0
CHHATTISGARH,RAIGARH,2006,53,6,2,104,5,22,0
CHHATTISGARH,RAIPUR,2006,104,28,16,253,42,121,0
CHHATTISGARH,RAJNANDGAON,2006,58,3,3,92,12,51,0
CHHATTISGARH,SARGUJA,2006,145,16,1,223,10,62,0
CHHATTISGARH,TOTAL,2006,959,171,70,1763,161,840,0
GOA,NORTH GOA,2006,4,1,2,12,2,6,0
GOA,SOUTH GOA,2006,8,5,0,5,5,5,0
GOA,TOTAL,2006,12,6,2,17,7,11,0
GUJARAT,AHMEDABAD COMMR.,2006,39,117,7,54,27,530,0
GUJARAT,AHMEDABAD RURAL,2006,5,27,0,26,0,84,0
GUJARAT,AHWA-DANG,2006,1,1,0,2,0,2,0
GUJARAT,AMRELI,2006,2,34,2,21,0,94,0
GUJARAT,ANAND,2006,3,28,0,27,3,210,0
GUJARAT,BHARUCH,2006,4,34,0,19,0,56,0
GUJARAT,BHAVNAGAR,2006,9,51,2,36,7,129,0
GUJARAT,DAHOD,2006,5,15,0,17,0,11,0
GUJARAT,GANDHINAGAR,2006,4,12,3,37,7,116,0
GUJARAT,HIMATNAGAR,2006,17,29,4,51,0,165,0
GUJARAT,JAMNAGAR,2006,20,22,2,18,2,163,0
GUJARAT,JUNAGADH,2006,14,39,11,44,8,384,0
GUJARAT,KHEDA NORTH,2006,11,30,0,43,0,122,0
GUJARAT,KUTCH,2006,2,22,2,25,1,176,0
GUJARAT,MEHSANA,2006,4,49,5,47,1,188,0
GUJARAT,NARMADA,2006,8,8,0,7,1,9,0
GUJARAT,NAVSARI,2006,2,5,0,6,0,17,0
GUJARAT,PALANPUR,2006,18,35,2,50,2,152,0
GUJARAT,PANCHMAHAL,2006,5,46,0,1,23,43,0
GUJARAT,PATAN,2006,3,21,0,23,0,78,0
GUJARAT,PORBANDAR,2006,6,5,0,10,0,64,0
GUJARAT,RAJKOT COMMR.,2006,5,38,3,19,12,199,0
GUJARAT,RAJKOT RURAL,2006,20,35,2,45,3,206,0
GUJARAT,SURAT COMMR.,2006,11,37,20,10,1,132,0
GUJARAT,SURAT RURAL,2006,26,16,0,11,0,34,0
GUJARAT,SURENDRANAGAR,2006,11,24,2,45,3,75,0
GUJARAT,VADODARA COMMR.,2006,3,32,0,11,10,90,0
GUJARAT,VADODARA RURAL,2006,18,34,0,34,0,81,0
GUJARAT,VALSAD,2006,9,11,0,10,0,50,0
GUJARAT,W.RLY,2006,1,0,0,7,0,7,0
GUJARAT,TOTAL,2006,286,857,67,756,111,3667,0
HARYANA,AMBALA,2006,11,32,11,27,0,132,0
HARYANA,BHIWANI,2006,10,7,33,17,0,43,0
HARYANA,FARIDABAD,2006,37,53,19,47,242,108,0
HARYANA,FATEHABAD,2006,17,13,17,17,0,93,0
HARYANA,GRP,2006,0,2,5,1,26,0,0
HARYANA,GURGAON,2006,32,32,17,21,21,136,0
HARYANA,HISSAR,2006,10,18,24,33,0,117,0
HARYANA,JHAJJAR,2006,21,8,20,42,13,122,0
HARYANA,JIND,2006,21,8,11,22,29,67,0
HARYANA,KAITHAL,2006,16,8,9,19,0,105,0
HARYANA,KARNAL,2006,44,10,18,28,2,97,0
HARYANA,KURUKSHETRA,2006,31,14,10,28,8,68,0
HARYANA,MAHENDRAGARH,2006,11,8,8,19,0,23,0
HARYANA,PANCHKULA,2006,6,15,4,23,10,43,0
HARYANA,PANIPAT,2006,38,10,11,16,11,92,0
HARYANA,REWARI,2006,11,11,12,17,0,14,0
HARYANA,ROHTAK,2006,28,6,17,26,20,41,0
HARYANA,SIRSA,2006,17,7,12,23,0,98,0
HARYANA,SONIPAT,2006,15,12,18,22,14,51,0
HARYANA,YAMUNANAGAR,2006,22,23,9,30,5,63,0
HARYANA,TOTAL,2006,398,297,285,478,401,1513,0
HIMACHAL PRADESH,BILASPUR,2006,5,9,1,35,1,47,0
HIMACHAL PRADESH,CHAMBA,2006,12,15,0,23,1,21,0
HIMACHAL PRADESH,G.R.P.,2006,0,0,0,0,0,0,0
HIMACHAL PRADESH,HAMIRPUR,2006,3,3,1,17,2,33,0
HIMACHAL PRADESH,KANGRA,2006,18,21,1,43,0,58,0
HIMACHAL PRADESH,KINNAUR,2006,6,3,0,4,0,2,0
HIMACHAL PRADESH,KULLU,2006,13,6,0,12,0,2,0
HIMACHAL PRADESH,LAHAUL-SPITI,2006,2,1,0,0,0,1,0
HIMACHAL PRADESH,MANDI,2006,16,10,0,59,4,56,0
HIMACHAL PRADESH,SHIMLA,2006,18,11,2,50,1,31,0
HIMACHAL PRADESH,SIRMAUR,2006,10,11,3,33,4,22,0
HIMACHAL PRADESH,SOLAN,2006,12,10,2,23,1,24,0
HIMACHAL PRADESH,UNA,2006,9,5,0,11,0,20,0
HIMACHAL PRADESH,TOTAL,2006,124,105,10,310,14,317,0
JAMMU & KASHMIR,ANANTNAG,2006,6,36,0,53,12,0,0
JAMMU & KASHMIR,AWANTIPORA,2006,1,13,0,8,2,0,0
JAMMU & KASHMIR,BARAMULLA,2006,28,59,0,93,14,0,0
JAMMU & KASHMIR,BORDER,2006,12,10,0,15,5,3,0
JAMMU & KASHMIR,BUDGAM,2006,7,34,0,35,9,0,0
JAMMU & KASHMIR,CRIME JAMMU,2006,0,0,0,0,0,0,0
JAMMU & KASHMIR,CRIME SRINAGAR,2006,0,0,0,0,0,0,0
JAMMU & KASHMIR,DODA,2006,7,15,0,6,2,1,0
JAMMU & KASHMIR,GANDERBAL,2006,5,31,0,30,4,0,0
JAMMU & KASHMIR,JAMMU,2006,13,43,5,40,94,26,0
JAMMU & KASHMIR,KARGIL,2006,0,1,0,1,0,0,0
JAMMU & KASHMIR,KATHUA,2006,13,10,3,14,4,1,0
JAMMU & KASHMIR,KULGAM,2006,6,31,0,7,11,0,0
JAMMU & KASHMIR,KUPWARA,2006,6,29,0,62,2,0,0
JAMMU & KASHMIR,LEH,2006,0,1,0,1,0,0,0
JAMMU & KASHMIR,POONCH,2006,13,10,0,4,6,2,0
JAMMU & KASHMIR,PULWAMA,2006,7,33,0,19,12,0,0
JAMMU & KASHMIR,RAILWAYS,2006,0,0,0,0,0,0,0
JAMMU & KASHMIR,RAJOURI,2006,17,20,3,7,6,6,0
JAMMU & KASHMIR,RAMBAN,2006,3,3,0,3,2,0,0
JAMMU & KASHMIR,REASI,2006,7,9,0,5,4,0,0
JAMMU & KASHMIR,SRINAGAR,2006,8,102,0,207,88,2,0
JAMMU & KASHMIR,UDHAMPUR,2006,10,14,2,12,11,9,0
JAMMU & KASHMIR,TOTAL,2006,169,504,13,622,288,50,0
JHARKHAND,BOKARO,2006,26,32,25,24,2,45,0
JHARKHAND,CHAIBASA,2006,32,10,0,6,0,0,0
JHARKHAND,CHATRA,2006,6,3,7,0,0,6,0
JHARKHAND,DEOGHAR,2006,22,0,10,13,1,10,0
JHARKHAND,DHANBAD,2006,32,45,30,47,0,18,0
JHARKHAND,DHANBAD RLY.,2006,2,0,0,0,0,0,0
JHARKHAND,DUMKA,2006,27,0,3,20,0,23,0
JHARKHAND,GARHWA,2006,11,2,15,0,0,5,0
JHARKHAND,GIRIDIH,2006,42,10,30,13,0,57,0
JHARKHAND,GODDA,2006,37,26,1,0,0,0,0
JHARKHAND,GUMLA,2006,29,11,0,2,0,10,1
JHARKHAND,HAZARIBAGH,2006,41,31,31,15,0,18,0
JHARKHAND,JAMSHEDPUR,2006,50,51,6,58,0,88,0
JHARKHAND,JAMSHEDPUR RLY.,2006,1,0,0,1,0,0,0
JHARKHAND,JAMTARA,2006,18,11,5,13,0,20,0
JHARKHAND,KODERMA,2006,2,2,11,8,1,29,0
JHARKHAND,LATEHAR,2006,12,2,6,0,0,0,0
JHARKHAND,LOHARDAGGA,2006,12,8,0,4,0,10,0
JHARKHAND,PAKUR,2006,23,0,7,0,0,18,0
JHARKHAND,PALAMU,2006,15,2,18,8,0,28,1
JHARKHAND,RANCHI,2006,73,1,4,24,1,78,0
JHARKHAND,SAHEBGANJ,2006,20,5,3,23,0,21,0
JHARKHAND,SARAIKELA,2006,17,15,4,18,0,0,0
JHARKHAND,SIMDEGA,2006,17,12,1,0,0,0,0
JHARKHAND,TOTAL,2006,567,279,217,297,5,484,2
KARNATAKA,BAGALKOT,2006,2,7,1,39,0,50,0
KARNATAKA,BANGALORE COMMR.,2006,40,56,40,223,51,229,0
KARNATAKA,BANGALORE RURAL,2006,13,10,30,90,0,123,0
KARNATAKA,BELGAUM,2006,8,12,4,62,0,125,0
KARNATAKA,BELLARY,2006,16,11,5,82,0,49,0
KARNATAKA,BIDAR,2006,7,10,2,90,3,51,0
KARNATAKA,BIJAPUR,2006,6,19,1,65,0,92,0
KARNATAKA,CHAMARAJNAGAR,2006,4,5,7,43,0,15,0
KARNATAKA,CHICKMAGALUR,2006,8,7,4,57,8,83,0
KARNATAKA,CHITRADURGA,2006,18,0,2,48,0,35,0
KARNATAKA,DAKSHIN KANNADA,2006,3,6,1,24,0,25,0
KARNATAKA,DAVANAGERE,2006,22,13,8,84,5,77,0
KARNATAKA,DHARWAD COMMR.,2006,4,4,2,3,0,24,0
KARNATAKA,DHARWAD RURAL,2006,3,2,3,8,0,8,0
KARNATAKA,GADAG,2006,2,2,3,10,0,18,0
KARNATAKA,GULBARGA,2006,20,21,6,143,1,104,0
KARNATAKA,HASSAN,2006,20,0,4,75,1,68,0
KARNATAKA,HAVERI,2006,3,11,5,42,0,32,0
KARNATAKA,K.G.F.,2006,1,7,4,12,0,20,0
KARNATAKA,KODAGU,2006,4,4,4,22,0,14,0
KARNATAKA,KOLAR,2006,17,18,18,42,0,39,0
KARNATAKA,KOPPAL,2006,6,12,5,40,1,23,0
KARNATAKA,MANDYA,2006,15,1,7,50,0,72,0
KARNATAKA,MYSORE COMMR.,2006,2,7,9,8,1,48,0
KARNATAKA,MYSORE RURAL,2006,12,4,6,79,2,51,0
KARNATAKA,RAICHUR,2006,12,5,1,63,4,52,0
KARNATAKA,RAILWAYS,2006,1,0,1,0,0,0,0
KARNATAKA,SHIMOGA,2006,12,10,6,65,0,134,0
KARNATAKA,TUMKUR,2006,6,4,28,53,0,44,0
KARNATAKA,UDUPI,2006,2,0,0,16,2,16,0
KARNATAKA,UTTAR KANNADA,2006,4,3,3,27,2,34,0
KARNATAKA,TOTAL,2006,293,271,220,1665,81,1755,0
KERALA,ALAPUZHA,2006,21,6,1,162,2,105,0
KERALA,CBCID,2006,2,0,0,0,0,4,0
KERALA,ERNAKULAM,2006,38,7,3,162,3,161,0
KERALA,IDUKKI,2006,34,0,0,145,16,127,0
KERALA,KANNUR,2006,42,7,0,77,7,157,0
KERALA,KASARGOD,2006,28,1,0,0,0,66,0
KERALA,KOLLAM,2006,55,9,3,235,0,315,0
KERALA,KOTTAYAM,2006,22,12,2,125,8,82,0
KERALA,KOZHIKODE,2006,39,10,2,118,8,319,0
KERALA,MALAPPURAM,2006,71,4,3,92,3,448,0
KERALA,PALAKKAD,2006,63,10,5,112,10,215,0
KERALA,PATHANAMTHITTA,2006,12,0,0,90,3,95,0
KERALA,RAILWAYS,2006,1,0,0,0,0,0,0
KERALA,THRISSUR,2006,42,9,2,223,16,198,0
KERALA,TRIVANDRUM,2006,57,21,6,345,2,210,0
KERALA,WAYANADU,2006,35,1,0,56,3,59,0
KERALA,TOTAL,2006,562,97,27,1942,81,2561,0
MADHYA PRADESH,BALAGHAT,2006,87,11,3,157,12,72,0
MADHYA PRADESH,BARWANI,2006,34,2,5,81,9,18,0
MADHYA PRADESH,BETUL,2006,95,16,7,135,4,71,0
MADHYA PRADESH,BHIND,2006,31,20,34,80,2,54,0
MADHYA PRADESH,BHOPAL,2006,106,48,15,252,56,132,0
MADHYA PRADESH,BHOPAL RLY.,2006,1,2,0,10,3,0,0
MADHYA PRADESH,CHHATARPUR,2006,65,23,20,193,10,46,0
MADHYA PRADESH,CHHINDWARA,2006,93,16,10,203,32,109,0
MADHYA PRADESH,DAMOH,2006,66,10,28,189,0,58,0
MADHYA PRADESH,DATIYA,2006,12,8,8,57,0,18,0
MADHYA PRADESH,DEWAS,2006,78,11,15,279,80,96,0
MADHYA PRADESH,DHAR,2006,68,18,41,168,21,88,0
MADHYA PRADESH,DINDORI,2006,20,2,0,53,6,4,0
MADHYA PRADESH,GUNA,2006,124,15,7,317,22,95,0
MADHYA PRADESH,GWALIOR,2006,59,22,20,139,8,49,0
MADHYA PRADESH,HARDA,2006,28,2,9,35,0,27,0
MADHYA PRADESH,HOSHANGABAD,2006,65,13,9,109,6,31,0
MADHYA PRADESH,INDORE,2006,84,35,25,215,63,161,0
MADHYA PRADESH,INDORE RLY.,2006,2,0,0,5,1,0,0
MADHYA PRADESH,JABALPUR,2006,108,20,28,264,50,81,0
MADHYA PRADESH,JABALPUR RLY.,2006,0,0,1,4,0,0,0
MADHYA PRADESH,JHABUA,2006,44,80,5,127,4,24,0
MADHYA PRADESH,KATNI,2006,25,3,11,106,12,59,0
MADHYA PRADESH,KHANDWA,2006,63,12,11,184,15,49,0
MADHYA PRADESH,KHARGON,2006,47,14,5,164,29,21,0
MADHYA PRADESH,MANDLA,2006,64,9,4,151,19,46,0
MADHYA PRADESH,MANDSAUR,2006,41,8,4,102,11,30,0
MADHYA PRADESH,MORENA,2006,35,18,29,77,2,34,0
MADHYA PRADESH,NARSINGHPUR,2006,70,4,22,156,16,40,0
MADHYA PRADESH,NEEMUCH,2006,37,7,1,83,18,62,0
MADHYA PRADESH,PANNA,2006,44,10,19,104,2,31,0
MADHYA PRADESH,RAISEN,2006,79,9,20,194,31,50,0
MADHYA PRADESH,RAJGARH,2006,95,9,7,196,26,49,0
MADHYA PRADESH,RATLAM,2006,70,13,4,125,28,53,0
MADHYA PRADESH,REWA,2006,31,18,18,105,2,56,0
MADHYA PRADESH,SAGAR,2006,141,16,29,509,0,142,0
MADHYA PRADESH,SATNA,2006,58,5,19,157,6,65,0
MADHYA PRADESH,SEONI,2006,52,2,10,106,23,25,0
MADHYA PRADESH,SHAHDOL,2006,63,13,9,216,3,87,0
MADHYA PRADESH,SHAJAPUR,2006,90,8,8,153,36,65,0
MADHYA PRADESH,SHEOPUR,2006,21,3,6,52,0,14,0
MADHYA PRADESH,SHIVPURI,2006,72,11,14,172,2,26,0
MADHYA PRADESH,SIDHI,2006,42,30,27,105,2,66,0
MADHYA PRADESH,SIHORE,2006,59,27,5,130,17,45,0
MADHYA PRADESH,TIKAMGARH,2006,86,4,15,177,2,27,0
MADHYA PRADESH,UJJAIN,2006,59,33,7,161,33,109,0
MADHYA PRADESH,UMARIYA,2006,25,2,2,61,5,21,0
MADHYA PRADESH,VIDISHA,2006,112,6,13,245,22,56,0
MADHYA PRADESH,TOTAL,2006,2851,668,609,7063,751,2562,0
MAHARASHTRA,AHMEDNAGAR,2006,44,25,0,74,2,496,0
MAHARASHTRA,AKOLA,2006,15,14,2,109,7,189,0
MAHARASHTRA,AMRAVATI COMMR.,2006,23,23,10,43,26,55,0
MAHARASHTRA,AMRAVATI RURAL,2006,42,25,4,99,38,92,0
MAHARASHTRA,AURANGABAD COMMR.,2006,14,14,4,33,12,102,0
MAHARASHTRA,AURANGABAD RURAL,2006,28,6,6,53,12,247,0
MAHARASHTRA,BEED,2006,22,15,2,78,15,177,0
MAHARASHTRA,BHANDARA,2006,39,1,5,71,37,60,0
MAHARASHTRA,BULDHANA,2006,22,18,35,118,21,223,0
MAHARASHTRA,CHANDRAPUR,2006,43,7,2,102,28,144,0
MAHARASHTRA,DHULE,2006,16,6,6,17,8,127,0
MAHARASHTRA,GADCHIROLI,2006,27,6,0,55,17,57,0
MAHARASHTRA,GONDIA,2006,23,17,4,85,22,80,0
MAHARASHTRA,HINGOLI,2006,20,8,2,44,4,134,0
MAHARASHTRA,JALGAON,2006,19,12,5,76,31,389,0
MAHARASHTRA,JALNA,2006,16,8,5,56,7,172,0
MAHARASHTRA,KOLHAPUR,2006,26,13,19,46,7,80,0
MAHARASHTRA,LATUR,2006,7,22,38,50,7,150,0
MAHARASHTRA,MUMBAI,2006,127,12,18,274,44,198,0
MAHARASHTRA,MUMBAI RLY.,2006,2,0,0,5,0,0,0
MAHARASHTRA,NAGPUR COMMR.,2006,39,51,7,75,56,218,0
MAHARASHTRA,NAGPUR RLY.,2006,2,0,2,4,0,0,0
MAHARASHTRA,NAGPUR RURAL,2006,81,16,3,131,294,141,0
MAHARASHTRA,NANDED,2006,23,36,21,85,22,202,0
MAHARASHTRA,NANDURBAR,2006,16,6,2,27,1,78,0
MAHARASHTRA,NASIK COMMR.,2006,9,9,3,19,2,99,0
MAHARASHTRA,NASIK RURAL,2006,39,10,7,74,37,339,0
MAHARASHTRA,NAVI MUMBAI,2006,17,7,5,23,5,57,0
MAHARASHTRA,OSMANABAD,2006,16,7,2,52,6,102,0
MAHARASHTRA,PARBHANI,2006,25,16,1,57,10,120,0
MAHARASHTRA,PUNE COMMR.,2006,56,28,2,54,105,147,1
MAHARASHTRA,PUNE RLY.,2006,0,0,0,3,0,0,0
MAHARASHTRA,PUNE RURAL,2006,42,17,5,64,11,165,0
MAHARASHTRA,RAIGAD,2006,20,1,1,29,7,55,0
MAHARASHTRA,RATNAGIRI,2006,10,4,0,32,19,62,0
MAHARASHTRA,SANGLI,2006,32,8,12,54,22,96,0
MAHARASHTRA,SATARA,2006,32,7,13,49,9,179,0
MAHARASHTRA,SINDHUDURG,2006,7,2,0,20,13,8,0
MAHARASHTRA,SOLAPUR COMMR.,2006,16,11,6,15,4,62,0
MAHARASHTRA,SOLAPUR RURAL,2006,35,14,6,40,12,90,0
MAHARASHTRA,THANE COMMR.,2006,39,37,6,69,43,212,0
MAHARASHTRA,THANE RURAL,2006,65,16,6,76,25,104,0
MAHARASHTRA,WARDHA,2006,35,12,9,98,35,89,0
MAHARASHTRA,WASHIM,2006,15,13,10,60,10,116,0
MAHARASHTRA,YAVATMAL,2006,56,31,12,125,27,177,0
MAHARASHTRA,TOTAL,2006,1302,611,308,2823,1120,6090,1
MANIPUR,BISHNUPUR,2006,1,3,0,0,0,1,0
MANIPUR,CHANDEL,2006,0,1,0,0,0,0,0
MANIPUR,CHURACHANDPUR,2006,1,0,0,0,0,0,0
MANIPUR,IMPHAL(EAST),2006,7,6,0,2,0,1,0
MANIPUR,IMPHAL(WEST),2006,7,37,0,17,0,3,0
MANIPUR,SENAPATI,2006,0,0,0,0,0,0,0
MANIPUR,TAMENGLONG,2006,0,0,0,0,0,0,0
MANIPUR,THOUBAL,2006,4,14,0,1,0,0,0
MANIPUR,UKHRUL,2006,0,1,0,1,0,0,0
MANIPUR,TOTAL,2006,20,62,0,21,0,5,0
MEGHALAYA,GARO HILLS EAST,2006,2,0,0,2,0,0,0
MEGHALAYA,GARO HILLS SOUTH,2006,1,0,0,0,0,1,0
